Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
PSX,139.06,-0.22,137.15,134.3,55.42,-0.1786,2525900,2206145,142.53,88.51,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:49
RRC,37.68,-4.85,38.61,37.77,47.69,0.5076,4653500,2926970,43.39,30.17,4,"Golden_Cross, RSI_Normal, Volume_Surge, From_Low_Rebound",2025-12-09 03:18:54
RTX,171.52,0.25,172.92,170.51,42.91,-2.3196,3498200,4330475,180.6,110.77,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:58
GD,336.01,-0.39,341.39,340.91,42.57,-3.3335,1433300,1078380,360.5,235.63,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:19:01
HWM,193.64,1.39,200.51,197.95,40.29,-3.5715,2658300,2152445,211.83,104.84,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:19:01
EW,84.32,-2.17,85.32,80.89,48.61,0.5687,3578600,3495605,87.89,65.94,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:04
MNST,73.94,0.27,72.99,70.16,61.29,2.3062,4050600,5432805,76.28,45.7,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:14
F,13.14,0.84,13.08,12.61,55.56,-0.0148,45555500,59415385,13.81,8.11,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:22
LUV,37.95,0.26,33.93,32.86,86.84,1.6626,12447400,7648085,38.37,23.55,4,"Golden_Cross, Volume_Surge, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:23
PLD,126.67,-1.02,126.09,122.98,64.33,1.7664,2805200,3591450,130.45,83.8,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:23
WELL,200.88,-1.68,199.47,185.46,56.98,7.0386,3807800,3336100,209.05,120.99,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:26
FLEX,67.54,8.22,59.39,60.53,68.43,-1.4842,13052600,5344790,69.25,25.11,4,"RSI_Normal, Volume_Surge, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:46
APH,140.06,0.5,137.76,133.06,63.01,-0.0728,3870100,7939275,144.37,56.27,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:46
AKAM,85.32,2.19,87.89,80.27,43.73,2.7249,2208400,4230255,103.75,67.51,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:19:49
MSFT,491.02,1.63,490.44,506.65,41.22,-11.9777,21904800,25333510,553.5,342.95,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:17:55
WMT,113.56,-1.35,107.21,105.15,71.66,4.4514,22695100,22573990,116.27,79.43,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:17:57
PG,138.34,-3.56,146.78,148.51,33.3,-0.414,17486200,10146170,176.43,138.14,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 03:17:58
MCD,309.79,-0.46,305.44,302.42,57.92,3.2821,3574500,3286710,320.72,270.23,3,"Golden_Cross, RSI_Normal, Near_52W_High",2025-12-09 03:18:00
NFLX,96.79,-3.44,108.01,112.67,31.42,-3.6977,100206800,45100120,134.12,82.11,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 03:18:02
INTC,40.3,-2.68,37.82,37.72,64.58,0.9327,93648500,85529390,44.02,17.67,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:18:02
MU,246.92,4.09,233.41,215.86,52.18,-3.9512,20427700,26083955,260.58,61.44,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:18:05
